n,f,ipc,pmiss,corrtype,mean(pctparan),mean(pctkaiser),mean(pctjolliffe),mean(pctproflik),mean(pctekc),na.rm
100,10,10,0.1,pearson,0.539,0,0,0.069,0,TRUE
100,10,10,0.1,tetrachoric,0.378,0,0,0.002,0,TRUE
100,10,10,0.25,pearson,0.605,0,0,0.027,0.034,TRUE
100,10,10,0.25,tetrachoric,0.707,0,0,0,0,TRUE
100,10,10,0.5,pearson,0.667,0,0,0.023,0.469,TRUE
100,10,10,0.5,tetrachoric,0.806,0,0,0.004,0,TRUE
100,10,3,0.1,pearson,0.002,0.45,0,0.007,0.142,TRUE
100,10,3,0.1,tetrachoric,0.003,0.432,0.1,0,0.432,TRUE
100,10,3,0.25,pearson,0.002,0.708,0,0.003,0.164,TRUE
100,10,3,0.25,tetrachoric,0.004,0.441,0.063,0,0.441,TRUE
100,10,3,0.5,pearson,0,0.734,0,0,0.195,TRUE
100,10,3,0.5,tetrachoric,0.002,0.479,0.088,0,0.479,TRUE
100,10,5,0.1,pearson,0.07414829659318638,0,0,0.033066132264529056,0.0841683366733467,TRUE
100,10,5,0.1,tetrachoric,0.18637274549098196,0,0,0.001002004008016032,0,TRUE
100,10,5,0.25,pearson,0.046,0,0,0.008,0.703,TRUE
100,10,5,0.25,tetrachoric,0.129,0.002,0,0,0.002,TRUE
100,10,5,0.5,pearson,0.055,0,0,0.003,0.906,TRUE
100,10,5,0.5,tetrachoric,0.156,0.002,0,0,0.002,TRUE
100,3,10,0.1,pearson,0.8708708708708709,0,0,0.8178178178178178,0.002002002002002002,TRUE
100,3,10,0.1,tetrachoric,0.6816816816816816,0,0,0.5645645645645646,0,TRUE
100,3,10,0.25,pearson,1,0.001,0,0.833,0.352,TRUE
100,3,10,0.25,tetrachoric,0.998,0.008,0,0.66,0.008,TRUE
100,3,10,0.5,pearson,1,0.036,0,0.835,0.741,TRUE
100,3,10,0.5,tetrachoric,1,0.11,0,0.708,0.11,TRUE
100,3,3,0.1,pearson,0.7187187187187187,0.8318318318318318,0.03403403403403404,0.6286286286286287,0.8488488488488488,TRUE
100,3,3,0.1,tetrachoric,0.7257257257257257,0.8698698698698699,0.44544544544544545,0.43843843843843844,0.8698698698698699,TRUE
100,3,3,0.25,pearson,0.769,0.994,0.259,0.597,0.988,TRUE
100,3,3,0.25,tetrachoric,0.798,0.969,0.753,0.431,0.969,TRUE
100,3,3,0.5,pearson,0.837,1,0.491,0.625,0.998,TRUE
100,3,3,0.5,tetrachoric,0.877,0.995,0.903,0.518,0.995,TRUE
100,3,5,0.1,pearson,0.9429429429429429,0.15015015015015015,0,0.7237237237237237,0.36236236236236236,TRUE
100,3,5,0.1,tetrachoric,0.8998998998998999,0.32232232232232233,0.012012012012012012,0.5125125125125125,0.32232232232232233,TRUE
100,3,5,0.25,pearson,0.989,0.813,0,0.782,0.902,TRUE
100,3,5,0.25,tetrachoric,0.989,0.853,0.075,0.561,0.853,TRUE
100,3,5,0.5,pearson,0.994,0.977,0.004,0.745,0.985,TRUE
100,3,5,0.5,tetrachoric,0.998,0.981,0.22,0.604,0.981,TRUE
100,5,10,0.1,pearson,0.8106212424849699,0,0,0.5400801603206413,0,TRUE
100,5,10,0.1,tetrachoric,0.46092184368737477,0,0,0.2124248496993988,0,TRUE
100,5,10,0.25,pearson,0.996,0,0,0.565,0.208,TRUE
