"","iter","n","f","ipc","","corrtype","nparan","nkaiser","njolliffe","nproflik","nekc"
"1","1","1","3","3","0.1","pearson","2","4","7","3","2"
"2","1","1","3","3","0.1","tetrachoric","3","4","4","2","4"
"3","2","1","3","3","0.1","pearson","3","3","5","3","3"
"4","2","1","3","3","0.1","tetrachoric","3","3","4","3","3"
"5","1","1","3","5","0.1","pearson","1","6","8","1","4"
"6","1","1","3","5","0.1","tetrachoric","4","5","6","1","5"
"7","2","1","3","5","0.1","pearson","3","6","9","3","3"
"8","2","1","3","5","0.1","tetrachoric","3","6","7","3","6"
"9","1","1","3","10","0.1","pearson","5","11","15","5","5"
"10","1","1","3","10","0.1","tetrachoric","6","9","11","4","9"
"11","2","1","3","10","0.1","pearson","4","9","13","2","6"
"12","2","1","3","10","0.1","tetrachoric","4","7","10","2","7"
"13","1","1","5","3","0.1","pearson","1","6","10","6","1"
"14","1","1","5","3","0.1","tetrachoric","6","6","7","6","6"
"15","1","1","3","3","0.1","pearson","2","4","7","3","2"
"16","1","1","3","3","0.1","tetrachoric","3","4","4","2","4"
"17","2","1","5","3","0.1","pearson","3","6","9","6","3"
"18","2","1","5","3","0.1","tetrachoric","6","6","7","3","6"
"19","2","1","3","3","0.1","pearson","3","3","5","3","3"
"20","2","1","3","3","0.1","tetrachoric","3","3","4","3","3"
"21","1","1","5","5","0.1","pearson","5","10","13","5","5"
"22","1","1","5","5","0.1","tetrachoric","6","9","11","4","9"
"23","1","1","3","5","0.1","pearson","1","6","8","1","4"
"24","1","1","3","5","0.1","tetrachoric","4","5","6","1","5"
"25","2","1","5","5","0.1","pearson","3","8","14","3","4"
"26","2","1","5","5","0.1","tetrachoric","4","7","10","1","7"
"27","2","1","3","5","0.1","pearson","3","6","9","3","3"
"28","2","1","3","5","0.1","tetrachoric","3","6","7","3","6"
"29","1","1","5","10","0.1","pearson","6","17","21","2","14"
"30","1","1","5","10","0.1","tetrachoric","7","14","17","1","14"
"31","1","1","5","3","0.1","pearson","1","6","10","6","1"
"32","1","1","5","3","0.1","tetrachoric","6","6","7","6","6"
"33","2","1","5","10","0.1","pearson","5","17","22","5","5"
"34","2","1","5","10","0.1","tetrachoric","10","16","19","5","16"
"35","2","1","3","10","0.1","pearson","4","9","13","2","6"
"36","2","1","3","10","0.1","tetrachoric","4","7","10","2","7"
"37","1","1","10","3","0.1","pearson","5","10","14","1","6"
"38","1","1","10","3","0.1","tetrachoric","6","10","11","1","10"
"39","1","1","3","10","0.1","pearson","5","11","15","5","5"
"40","1","1","3","10","0.1","tetrachoric","6","9","11","4","9"
"41","2","1","10","3","0.1","pearson","7","11","15","7","7"
"42","2","1","10","3","0.1","tetrachoric","8","9","12","1","9"
"43","1","1","3","3","0.1","pearson","2","4","7","3","2"
"44","1","1","3","3","0.1","tetrachoric","3","4","4","2","4"
"45","2","1","5","3","0.1","pearson","3","6","9","6","3"
"46","2","1","5","3","0.1","tetrachoric","6","6","7","3","6"
"47","1","1","10","5","0.1","pearson","8","18","23","10","8"
"48","1","1","10","5","0.1","tetrachoric","10","16","20","9","16"
"49","2","1","3","3","0.1","pearson","3","3","5","3","3"
"50","2","1","3","3","0.1","tetrachoric","3","3","4","3","3"
"51","1","1","5","5","0.1","pearson","5","10","13","5","5"
"52","1","1","5","5","0.1","tetrachoric","6","9","11","4","9"
"53","2","1","10","5","0.1","pearson","9","17","24","9","9"
"54","2","1","10","5","0.1","tetrachoric","12","16","19","9","16"
"55","1","1","3","5","0.1","pearson","1","6","8","1","4"
"56","1","1","3","5","0.1","tetrachoric","4","5","6","1","5"
"57","2","1","5","5","0.1","pearson","3","8","14","3","4"
"58","2","1","5","5","0.1","tetrachoric","4","7","10","1","7"
"59","1","1","10","10","0.1","pearson","12","32","39","12","17"
"60","1","1","10","10","0.1","tetrachoric","12","26","31","1","26"
"61","2","1","3","10","0.1","pearson","4","9","13","2","6"
"62","2","1","3","10","0.1","tetrachoric","4","7","10","2","7"
"63","1","1","10","3","0.1","pearson","5","10","14","1","6"
"64","1","1","10","3","0.1","tetrachoric","6","10","11","1","10"
